sys_id,shelfmark,lib,catalog_title,work_id,cat,genre,author,work,mesirah,pages,p_test,p_part,p_cit,letters,best_cov,best_density,cls,tier
990001562990205171,Ms. EVR ARAB I 4605,RNL,פרוש התורה (בראשית א-ד).,M:Ytext66000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,שיעור קומה,,1,0,0,1,114,0.046,0.2957,citation,
990051523370205171,Cambridge University Library Ms. T-S NS 151.45,CUL,פיוט;תפילה וברכות;תפילות קבע. ; Piyyut ; Service for Yom Kippur with Judaeo-Arabic instructions,M:Ytext599100,Maagarim,פיוט ותפילה,מחבר לא ידוע,ברכת השיר,,1,0,0,1,114,0.131,0.2692,citation,
990001532730205171,Ms. EVR ARAB I 1406,RNL,פרוש כתובים (שיר השירים).,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,1,0,0,1,114,0.143,0.3158,citation,
990001438700205171,Ms. EVR II A 434,RNL,תוצאות ארץ ישראל.,J:58-ריהל-ספר-הכוזרים,JA,ערבית יהודית,,"ריה""ל, ספר הכוזרים",,1,0,0,1,114,0.047,0.3419,citation,
990001603790205171,Ms. EVR ARAB II 1146,RNL,אלמקדמאת.,J:01-רמבע-העיונים-והדיונים,JA,ערבית יהודית,,"רמב""ע, העיונים והדיונים",,1,0,1,0,114,0.168,0.3421,partial,
990001456880205171,Ms. EVR II A 2181,RNL,סדור מנהג קראים לימות השבוע.,M:Ytext586003,Maagarim,פיוט ותפילה,מחבר לא ידוע,סדר רחמין,,1,0,1,0,114,0.174,0.3246,partial,
990053221420205171,"Adler, Elkan Nathan Ms. 2903.14",JTS,מסורה;פרשנות מקרא;תרגומים ארמיים. ; Biblical Exegesis: Deuteronomy Va’ethanan 4:9 – 11 ; פרשנות מקרא: דברים ואתחנן ד:ט – יא,M:Ytext1000,Bible,-מקרא,מחבר לא ידוע,מקרא,,1,0,1,0,114,0.151,0.3333,partial,
990053221420205171,"Adler, Elkan Nathan Ms. 2903.14",JTS,מסורה;פרשנות מקרא;תרגומים ארמיים. ; Biblical Exegesis: Deuteronomy Va’ethanan 4:9 – 11 ; פרשנות מקרא: דברים ואתחנן ד:ט – יא,J:41-ראבם-המספיק-לעובדי-השם-כרך-ט-חלק-ב,JA,ערבית יהודית,,"ראב""ם, המספיק לעובדי השם (כרך ט חלק ב)",,1,0,1,0,114,0.151,0.3333,partial,
990001456730205171,Ms. EVR II A 2165,RNL,תפלות מנהג קראים לסוכות.,M:Ytext75000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,פסיקתא דרב כהנא,,1,0,0,1,114,0.079,0.3246,citation,
990001441760205171,Ms. EVR II A 688,RNL,סדור מנהג קראים.,M:Ytext405016,Maagarim,ספרות רבנית,חננאל בן חושיאל,"פירוש לתלמוד, יומא (טקסט בלבד)",,1,0,0,1,114,0.065,0.3333,citation,
990051372120205171,Cambridge University Library Ms. T-S Misc. 24.99,CUL,מקרא [טקסט]. ; Bible: Deuteronomy 4:47 – 5:8; 7:6 – 13 ; מקרא: דברים ד:מז – ה:ח; ז:ו – יג,J:44-נתנאל-בן-פיומי-גן-השכלים,JA,ערבית יהודית,,"נתנאל בן פיומי, גן השכלים",,1,0,1,0,114,0.218,0.307,partial,
990051756610205171,Cambridge University Library Ms. T-S NS 27.360,CUL,,M:Ytext280001,Maagarim,ספרות התרגומים מערבית,יהודה אבן תיבון,"ספר חובות הלבבות לבחיי אבן פקודה, תרגום",,1,0,0,1,114,0.1,0.3333,citation,
990001572790205171,Ms. EVR II B 707,RNL,נביאים (קטעים).,M:Ytext590275,Maagarim,פיוט ותפילה,מחבר לא ידוע,סליחה,,1,0,0,1,114,0.067,0.3109,citation,
990001457370205171,Ms. EVR II A 2227,RNL,תפלות לשבת.,M:Ytext656000,Maagarim,ספרות הקראים,מחבר לא ידוע,סדר תפילה קראי,"Cambridge, University Library, T-S Collection, Misc. 35, 85",1,0,0,1,114,0.133,0.3361,citation,
990001457420205171,Ms. EVR II A 2232,RNL,תפלות מנהג קראים ליום כפור (קטעים).,M:Ytext66000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,שיעור קומה,,1,0,0,1,114,0.102,0.2957,citation,
990053041360205171,"Adler, Elkan Nathan Ms. 507.6",JTS,"פיוט;תפילה וברכות. ; בקשות שונות (או תפילות קראיות ?), עם הוראות בערבית-יהודית",M:Ytext795002,Maagarim,פיוט ותפילה,רב סעדיה גאון,בקשה ב,,1,0,0,1,114,0.107,0.3158,citation,
990001442590205171,Ms. EVR II A 817,RNL,סדור מנהג קראים (קטעים).,J:06-רסג-הנבחר-באמונות-ודעות,JA,ערבית יהודית,,"רס""ג, הנבחר באמונות ודעות",,1,0,0,1,114,0.056,0.3158,citation,
990001455710205171,Ms. EVR II A 2081,RNL,מחזור מנהג קראים ליום כפור.,J:06-רסג-הנבחר-באמונות-ודעות,JA,ערבית יהודית,,"רס""ג, הנבחר באמונות ודעות",,1,0,0,1,114,0.071,0.3421,citation,
997011662469305171,Box_k_f_186r_color.tif,RNL,משנה סדר נזיקין (עדויות ז:ט-ח:ו).,M:Ytext280001,Maagarim,ספרות התרגומים מערבית,יהודה אבן תיבון,"ספר חובות הלבבות לבחיי אבן פקודה, תרגום",,1,0,0,1,114,0.099,0.3478,citation,
990051381870205171,Cambridge University Library Ms. T-S Misc. 34.1,CUL,"משנה [טקסט];פיוט;תפסיר ערבי. ; תפסיר ערבי: במדבר, דברים",M:Ytext599019,Maagarim,פיוט ותפילה,מחבר לא ידוע,קדושת היום במוסף לשבת,,1,0,0,1,114,0.098,0.3333,citation,
990001460580205171,Ms. EVR II A 2532,RNL,תפלה מנהג קראים ליום השביעי של סוכות (קטעים).,M:Ytext608000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,מסכת סופרים,,1,0,0,1,114,0.059,0.3246,citation,
990001460580205171,Ms. EVR II A 2532,RNL,תפלה מנהג קראים ליום השביעי של סוכות (קטעים).,M:Ytext66000,Maagarim,תלמוד ומדרש,מחבר לא ידוע,שיעור קומה,,1,0,0,1,114,0.059,0.3043,citation,
990001454970205171,Ms. EVR II A 2012,RNL,סדור מנהג קראים (קטעים).,M:Ytext586003,Maagarim,פיוט ותפילה,מחבר לא ידוע,סדר רחמין,,1,0,0,1,114,0.116,0.3246,citation,
