cluster,sys_id,library,title
1486,990052238230205171,CUL,שירת חול. ; Secular Poetry: Maqamot ; שירת חול: מקאמות
1487,990001603020205171,RNL,ספור על אסתר.
1487,990001612250205171,RNL,ספור על אסתר.
1500,990001607600205171,RNL,ספור.
1500,990053078810205171,JTS,סיפורת וספרות יפה. ; ביקור בגן-עדן ובגיהנום
1511,990001610200205171,RNL,שיר בעניני מוסר.
1511,990053171070205171,JTS,פיוט. ; שיר בערבית-יהודית חובת האדם לעבוד ולירא את ה'
1516,990001610730205171,RNL,על עשרת הדברות בשיר.
1516,990001617370205171,RNL,קבץ שירים.
1520,990001611340205171,RNL,חבור במוסר.
1520,990051277330205171,CUL,"מדעים;מוסר;ספרות הגות (פילוסופיה, תיאולוגיה, מוסר). ; Ethical text"
1522,990001611980205171,RNL,קינה.
1522,990051295830205171,CUL,פיוט;שירת חול;תפילה וברכות. ; Secular Poetry ; פיוט על דמויות מקראיות
1524,990001612870205171,RNL,חבור במוסר.
1524,990001612940205171,RNL,שיר.
1526,990001613850205171,RNL,אלאסבאב.
1526,990001615800205171,RNL,אלאסבאב.
1530,990001614950205171,RNL,דרשה על עשרת הדברות.
1530,990001619590205171,RNL,דרשה (קטע).
1540,990001617180205171,RNL,שירים (קטעים).
1540,990053096030205171,JTS,ספרות יפה;פיוט;תפילה וברכות. ; שירי תוכחה
1547,990001618640205171,RNL,חבור במוסר : ; בצורת שיר.
1547,990001620160205171,RNL,שירים (קטעים).
1573,990001623090205171,RNL,דיני שחיטה (קטע).
1573,990053199660205171,JTS,"מוסר. ; חיבור על ענייני מוסר ואתיקה, בערבית-יהודית התר אכילת בשר, וצער בעלי חיים (?)"
1577,990001623250205171,RNL,דרשות (קטעים).
1577,990053460030205171,Oxford,היסטוריוגרפיה ותאורים גיאוגרפיים. ; Biblical history of mount Moriah and the Temple
1595,990001638610205171,Oxford,"משנה תורה (ספר משפטים, הלכות שכירות י:ד-סוף, הלכות שאלה ופקדון פרק א:א-ב:ג) : ; טיוטה אוטוגרף."
1595,990053622710205171,Oxford,"משנה תורה. ; Moses b. Maimon, Rambam, Mishneh Torah: Sekhirut 10:4 – 13:7; She'elah u-Fiqqadon 1:1 – 2:3 ; משה בן מימון, משנה תורה: שכירות י:ד – יג:ז; שאלה ופקדון א:א – ב:ג"
1606,990001660940205171,RNL,פיוטים ליום כפור.
1606,990051508210205171,CUL,פיוט;תפילה וברכות;תפילות קבע. ; Common Prayers: Shaharit Yom ha-Kippurim Amidah; Ne'ilah Yom ha-Kippurim Amidah ; תפילות קבע: שחרית יום הכיפורים עמידה; נעילה יום הכיפורים עמידה
1616,990001662350205171,RNL,ספרא (ויקרא פרשה א-ב).
1616,990053576600205171,JTS,"משנה תורה;ספרא. ; ספרא: דף 1 ע""א (עמ' עא, גיליון תחתון – עב/6 ; מהד' פינק', עמ' 66/127 – 20/128), דף 1 ע""ב (עמ' עב/6 – עג/4 ; מהד' פינק', עמ' 20/128 – 41/129)"
1620,990001663880205171,Katz,מלון עברי-ערבי למקרא.
1620,990051505060205171,CUL,פיוט. ; Piyyut
1622,990001664380205171,RNL,תורה (במדבר ל:כד-לא:יג).
1622,990001666320205171,RNL,"תורה (במדבר כט:לד-כט:טז, דברים ב:ב-ה:כה)."
1624,990001665050205171,Katz,פולמוס רבני נגד קראים.
1624,990053959230205171,Katz,
1631,990001666770205171,RNL,הלכות גדולות (קטע).
1631,990051185300205171,CUL,פיוט. ; Piyyut
1636,990001667410205171,RNL,הלכות גדולות.
1636,990053577040205171,JTS,"הלכות הרי""ף. ; Isaac Al-Fasi, Hilkhot ha-Rif: Berakhot 22 b; 24 b ; יצחק אלפסי, הלכות הרי""ף: ברכות כב ע""ב; כד ע""ב"
1656,990001696690205171,Vienna,שטר. קהיר. 1084.
1656,990051224780205171,CUL,מסמכים;מעשה בית דין [השיוך לא ברור ולא נבדק כל קטע וקטע.];תעודות אישיות ושטרות. ; Court Records ; מעשה בית דין
1659,990001696920205171,Vienna,"פרוש התלמוד (בבא בתרא קח ע""א, קמב ע""ב)."
