system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990001592520205171,,Yevr. IV 130,RNL,,,,
990001592530205171,,Yevr. IV 131,RNL,,,,
990001592550205171,,Yevr. IV 133,RNL,,,,
990001592640205171,,Yevr. IV 144,RNL,,,,
990001592650205171,,Yevr. IV 145,RNL,,,,
990001592670205171,,Yevr. IV 147,RNL,,,,
990001592690205171,,Yevr. IV 151,RNL,,,,
990001592700205171,,Yevr. IV 152,RNL,,,,
990001592710205171,,Yevr. IV 153,RNL,,,,
990001592780205171,,Yevr. IV 167,RNL,,,,
990001592850205171,,Yevr. IV 183,RNL,,,,
990001592870205171,,Yevr. IV 187,RNL,,,,
990001592900205171,,Yevr. IV 190,RNL,,,,
990001592930205171,,Yevr. IV 196,RNL,,,,
990001592940205171,,Yevr. IV 197,RNL,,,,
990001592950205171,,Yevr. IV 198,RNL,,,,
990001592960205171,,Yevr. IV 199,RNL,,,,
990001592970205171,,Yevr. IV 200,RNL,,,,
990001592980205171,,Yevr. IV 201,RNL,,,,
990001593000205171,,Yevr. IV 204,RNL,,,,
990001593010205171,,Yevr. IV 205,RNL,,,,
990001594160205171,,Yevr.-Arab. II 127,RNL,,,,
990001596990205171,,Yevr.-Arab. II 436,RNL,,,,
990001600620205171,,Yevr.-Arab. II 794,RNL,,,,
990001600630205171,,Yevr.-Arab. II 795,RNL,,,,
990001600650205171,,Yevr.-Arab. II 797,RNL,,,,
990001600660205171,,Yevr.-Arab. II 798,RNL,,,,
990001600690205171,,Yevr.-Arab. II 801,RNL,,,,
990001600700205171,,Yevr.-Arab. II 802,RNL,,,,
990001600830205171,,Yevr.-Arab. II 820,RNL,,,,פירוש על התורה
990001600950205171,,Yevr.-Arab. II 832,RNL,,,,
990001601230205171,,Yevr.-Arab. II 865,RNL,,,,
990001601360205171,,Yevr.-Arab. II 880,RNL,,,,פירוש על התורה
990001601820205171,,Yevr.-Arab. II 906,RNL,,,,
990001601850205171,,Yevr.-Arab. II 909,RNL,,,,
990001601870205171,,Yevr.-Arab. II 911,RNL,,,,
990001602230205171,,Yevr.-Arab. II 949,RNL,,,,
990001602420205171,,Yevr.-Arab. II 968,RNL,,,,
990001602550205171,,Yevr.-Arab. II 983,RNL,,,,
990001602570205171,,Yevr.-Arab. II 985,RNL,,,,
990001603980205171,,Yevr.-Arab. II 1169,RNL,,,,
990001604050205171,,Yevr.-Arab. II 1176,RNL,,,,
990001604210205171,,Yevr.-Arab. II 1196,RNL,,,,
990001604230205171,,Yevr.-Arab. II 1202,RNL,,,,
990001604310205171,,Yevr.-Arab. II 1227,RNL,,,,
990001604360205171,,Yevr.-Arab. II 1233,RNL,,,,
990001604370205171,,Yevr.-Arab. II 1234,RNL,,,,
990001604430205171,,Yevr.-Arab. II 1240,RNL,,,,
990001604540205171,,Yevr.-Arab. II 1252,RNL,,,,
990001605630205171,,Yevr.-Arab. II 1359,RNL,,,,
990001606550205171,,Yevr.-Arab. II 1441,RNL,,,,
990001606580205171,,Yevr.-Arab. II 1444,RNL,,,,
990001607570205171,,Yevr.-Arab. II 1544,RNL,,,,
990001607760205171,,Yevr.-Arab. II 1562,RNL,,,,
990001607970205171,,Yevr.-Arab. II 1583,RNL,,,,
990001614440205171,,Yevr.-Arab. II 2246,RNL,,,,
