System ID,Shelfmark Text,Issue,Details
997008739663005171,"MS Heb. c.72/41 | Ms. heb. c. 72.41 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.41",NO_ID_LINKED,Field is empty
990053460900205171,"MS heb. f.7/18 | Ms. heb. f. 7.18 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.18",NO_ID_LINKED,Field is empty
990053462070205171,"MS heb. f.7*/22 | Ms. heb. f. 7*.22 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.22",NO_ID_LINKED,Field is empty
990053476750205171,"MS heb. f.52/36 | Ms. heb. f. 52.36 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.36",NO_ID_LINKED,Field is empty
990053477650205171,"MS heb. f.53/31 | Ms. heb. f. 53.31 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.31",NO_ID_LINKED,Field is empty
997008739662105171,"MS Heb. c.72/50 | Ms. heb. c. 72.50 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.50",NO_ID_LINKED,Field is empty
997008739664905171,"MS Heb. c.72/19 | Ms. heb. c. 72.19 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.19",NO_ID_LINKED,Field is empty
990053478000205171,"MS heb. f.53/66 | Ms. heb. f. 53.66 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.66",NO_ID_LINKED,Field is empty
990053477290205171,"MS heb. f.52/90 | Ms. heb. f. 52.90 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.90",NO_ID_LINKED,Field is empty
990053468380205171,"MS heb. f.31/6 | Ms. heb. f. 31.6 | The Bodleian Libraries, University of Oxford Ms. heb. f. 31.6",NO_ID_LINKED,Field is empty
990053476660205171,"MS heb. f.52/27 | Ms. heb. f. 52.27 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.27",NO_ID_LINKED,Field is empty
990053477740205171,"MS heb. f.53/40 | Ms. heb. f. 53.40 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.40",NO_ID_LINKED,Field is empty
990053468470205171,"MS heb. f.31/15 | Ms. heb. f. 31.15 | The Bodleian Libraries, University of Oxford Ms. heb. f. 31.15",NO_ID_LINKED,Field is empty
990053478190205171,"MS heb. f.53/85 | Ms. heb. f. 53.85 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.85",NO_ID_LINKED,Field is empty
990053476570205171,"MS heb. f.52/18 | Ms. heb. f. 52.18 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.18",NO_ID_LINKED,Field is empty
990053461260205171,"MS heb. f.7/54 | Ms. heb. f. 7.54 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.54",NO_ID_LINKED,Field is empty
990053461440205171,"MS heb. f.7/72 | Ms. heb. f. 7.72 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.72",NO_ID_LINKED,Field is empty
990053461620205171,"MS heb. f.7/90 | Ms. heb. f. 7.90 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.90",NO_ID_LINKED,Field is empty
990053461800205171,"MS heb. f.7/108 | Ms. heb. f. 7.108 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.108",NO_ID_LINKED,Field is empty
990053460630205171,"MS heb. f.6/1 | Ms. heb. f. 6.1 | The Bodleian Libraries, University of Oxford Ms. heb. f. 6.1",NO_ID_LINKED,Field is empty
990053434260205171,"MS heb. e.39/1 | Ms. heb. e. 39.1 | The Bodleian Libraries, University of Oxford Ms. heb. e. 39.1",NO_ID_LINKED,Field is empty
990053435980205171,"MS heb. e.39/177 | Ms. heb. e. 39.177 | The Bodleian Libraries, University of Oxford Ms. heb. e. 39.177",NO_ID_LINKED,Field is empty
990053477380205171,"MS heb. f.53/4 | Ms. heb. f. 53.4 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.4",NO_ID_LINKED,Field is empty
990053477830205171,"MS heb. f.53/49 | Ms. heb. f. 53.49 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.49",NO_ID_LINKED,Field is empty
990053632170205171,"MS heb. e.47/8 | Ms. heb. e. 47.8 | The Bodleian Libraries, University of Oxford Ms. heb. e. 47.8",NO_ID_LINKED,Field is empty
990053462890205171,"MS heb. f.20/4 | Ms. heb. f. 20.4 | The Bodleian Libraries, University of Oxford Ms. heb. f. 20.4",NO_ID_LINKED,Field is empty
990053492680205171,"MS heb. g.14/7 | Ms. heb. g. 14.7 | The Bodleian Libraries, University of Oxford Ms. heb. g. 14.7",NO_ID_LINKED,Field is empty
990053462980205171,"MS heb. f.20/13 | Ms. heb. f. 20.13 | The Bodleian Libraries, University of Oxford Ms. heb. f. 20.13",NO_ID_LINKED,Field is empty
990053461080205171,"MS heb. f.7/36 | Ms. heb. f. 7.36 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.36",NO_ID_LINKED,Field is empty
990053452990205171,"MS heb. e.84(P)/1 | Ms. heb. e. 84(P).1 | The Bodleian Libraries, University of Oxford Ms. heb. e. 84(P).1",NO_ID_LINKED,Field is empty
990053460540205171,"MS heb. f.4/6 | Ms. heb. f. 4.6 | The Bodleian Libraries, University of Oxford Ms. heb. f. 4.6",NO_ID_LINKED,Field is empty
990053442900205171,"MS heb. e.50/72 | Ms. heb. e. 50.72 | The Bodleian Libraries, University of Oxford Ms. heb. e. 50.72",NO_ID_LINKED,Field is empty
990053460360205171,"MS heb. f.3/11 | Ms. heb. f. 3.11 | The Bodleian Libraries, University of Oxford Ms. heb. f. 3.11",NO_ID_LINKED,Field is empty
997008739659505171,"MS Heb. c.72/11 | Ms. heb. c. 72.11 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.11",NO_ID_LINKED,Field is empty
990053460180205171,"MS heb. f.2/22 | Ms. heb. f. 2.22 | The Bodleian Libraries, University of Oxford Ms. heb. f. 2.22",NO_ID_LINKED,Field is empty
990053460090205171,"MS heb. f.2/13 | Ms. heb. f. 2.13 | The Bodleian Libraries, University of Oxford Ms. heb. f. 2.13",NO_ID_LINKED,Field is empty
990053460270205171,"MS heb. f.3/2 | Ms. heb. f. 3.2 | The Bodleian Libraries, University of Oxford Ms. heb. f. 3.2",NO_ID_LINKED,Field is empty
990053492860205171,"MS heb. g.14/25 | Ms. heb. g. 14.25 | The Bodleian Libraries, University of Oxford Ms. heb. g. 14.25",NO_ID_LINKED,Field is empty
990053492770205171,"MS heb. g.14/16 | Ms. heb. g. 14.16 | The Bodleian Libraries, University of Oxford Ms. heb. g. 14.16",NO_ID_LINKED,Field is empty
990053478010205171,"MS heb. f.53/67 | Ms. heb. f. 53.67 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.67",NO_ID_LINKED,Field is empty
990053461090205171,"MS heb. f.7/37 | Ms. heb. f. 7.37 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.37",NO_ID_LINKED,Field is empty
990053461540205171,"MS heb. f.7/82 | Ms. heb. f. 7.82 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.82",NO_ID_LINKED,Field is empty
997008739658705171,"MS Heb. C.64/3 | Ms. heb. c. 64.3 | The Bodleian Libraries, University of Oxford Ms. heb. c. 64.3",NO_ID_LINKED,Field is empty
990053492870205171,"MS heb. g.14/26 | Ms. heb. g. 14.26 | The Bodleian Libraries, University of Oxford Ms. heb. g. 14.26",NO_ID_LINKED,Field is empty
990053461630205171,"MS heb. f.7/91 | Ms. heb. f. 7.91 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.91",NO_ID_LINKED,Field is empty
990053460820205171,"MS heb. f.7/10 | Ms. heb. f. 7.10 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.10",NO_ID_LINKED,Field is empty
990053476490205171,"MS heb. f.52/10 | Ms. heb. f. 52.10 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.10",NO_ID_LINKED,Field is empty
990053460910205171,"MS heb. f.7/19 | Ms. heb. f. 7.19 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.19",NO_ID_LINKED,Field is empty
990053461270205171,"MS heb. f.7/55 | Ms. heb. f. 7.55 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.55",NO_ID_LINKED,Field is empty
990053461810205171,"MS heb. f.7/109 | Ms. heb. f. 7.109 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.109",NO_ID_LINKED,Field is empty
990053478100205171,"MS heb. f.53/76 | Ms. heb. f. 53.76 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.76",NO_ID_LINKED,Field is empty
990053468390205171,"MS heb. f.31/7 | Ms. heb. f. 31.7 | The Bodleian Libraries, University of Oxford Ms. heb. f. 31.7",NO_ID_LINKED,Field is empty
997008739665905171,"MS Heb. c.72/2 | Ms. heb. c. 72.2 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.2",NO_ID_LINKED,Field is empty
997008739664005171,"MS Heb. c.72/30 | Ms. heb. c. 72.30 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.30",NO_ID_LINKED,Field is empty
990053462170205171,"MS heb. f.7*/32 | Ms. heb. f. 7*.32 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.32",NO_ID_LINKED,Field is empty
990053461720205171,"MS heb. f.7/100 | Ms. heb. f. 7.100 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.100",NO_ID_LINKED,Field is empty
990053461450205171,"MS heb. f.7/73 | Ms. heb. f. 7.73 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.73",NO_ID_LINKED,Field is empty
990053462080205171,"MS heb. f.7*/23 | Ms. heb. f. 7*.23 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.23",NO_ID_LINKED,Field is empty
990053435990205171,"MS heb. e.39/178 | Ms. heb. e. 39.178 | The Bodleian Libraries, University of Oxford Ms. heb. e. 39.178",NO_ID_LINKED,Field is empty
990053477750205171,"MS heb. f.53/41 | Ms. heb. f. 53.41 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.41",NO_ID_LINKED,Field is empty
990053477930205171,"MS heb. f.53/59 | Ms. heb. f. 53.59 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.59",NO_ID_LINKED,Field is empty
990053476670205171,"MS heb. f.52/28 | Ms. heb. f. 52.28 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.28",NO_ID_LINKED,Field is empty
990053461180205171,"MS heb. f.7/46 | Ms. heb. f. 7.46 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.46",NO_ID_LINKED,Field is empty
990053460640205171,"MS heb. f.6/2 | Ms. heb. f. 6.2 | The Bodleian Libraries, University of Oxford Ms. heb. f. 6.2",NO_ID_LINKED,Field is empty
997008739663105171,"MS Heb. c.72/40 | Ms. heb. c. 72.40 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.40",NO_ID_LINKED,Field is empty
990053478290205171,"MS heb. f.53/95 | Ms. heb. f. 53.95 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.95",NO_ID_LINKED,Field is empty
990053477110205171,"MS heb. f.52/72 | Ms. heb. f. 52.72 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.72",NO_ID_LINKED,Field is empty
990053477840205171,"MS heb. f.53/50 | Ms. heb. f. 53.50 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.50",NO_ID_LINKED,Field is empty
990053476580205171,"MS heb. f.52/19 | Ms. heb. f. 52.19 | The Bodleian Libraries, University of Oxford Ms. heb. f. 52.19",NO_ID_LINKED,Field is empty
990053398730205171,"MS heb. c.27/93 | Ms. heb. c. 27.93 | The Bodleian Libraries, University of Oxford Ms. heb. c. 27.93",NO_ID_LINKED,Field is empty
990053477480205171,"MS heb. f.53/14 | Ms. heb. f. 53.14 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.14",NO_ID_LINKED,Field is empty
